H2SH,H2SL,NH3,PIDmV,PIDppm,T1,RH1,T2,RH2,LAT,LONG,ALT,ACC,t
0.28,-0.25,0.17,26,2.18,32.77,29.54,32.28,36.4,41.3695030212,1.9970105886,145.1627044678,0.2127,82.2727272727273
0.28,-0.19,0.17,25,2.09,32.77,29.54,32.28,36.4,41.3695030212,1.9970105886,145.1627044678,0.2127,82.9393939393939
0.18,-0.21,0.18,25,2.09,32.77,29.54,32.28,36.4,41.3695030212,1.9970105886,145.1627044678,0.2127,83.6060606060606
0.47,-0.21,0.18,25,2,32.77,29.74,32.33,36.54,41.3695068359,1.9970072508,145.2808990479,0.1784,83.6060606060606
0.18,-0.17,0.17,25,2.18,32.77,29.74,32.33,36.54,41.3695068359,1.9970072508,145.2808990479,0.1784,84.8917748917749
0.28,-0.21,0.18,25,2,32.77,29.74,32.33,36.54,41.3695068359,1.9970072508,145.2808990479,0.1784,86.1774891774892
0.28,-0.21,0.17,25,2.18,32.77,29.74,32.33,36.54,41.3695068359,1.9970072508,145.2808990479,0.1784,87.4632034632035
0.37,-0.21,0.17,24,2,32.77,29.74,32.33,36.54,41.3695068359,1.9970072508,145.2808990479,0.1784,88.7489177489177
0.47,-0.21,0.17,23,2,32.77,29.74,32.33,36.54,41.3695068359,1.9970072508,145.2808990479,0.1784,90.034632034632
0.37,-0.25,0.18,26,2.18,32.77,29.74,32.33,36.54,41.3695068359,1.9970072508,145.2808990479,0.1784,91.3203463203463
0.28,-0.25,0.18,25,2.09,32.77,29.74,32.33,36.54,41.3695068359,1.9970072508,145.2808990479,0.1784,92.6060606060606
0.18,-0.21,0.17,24,2.09,32.77,29.74,32.33,36.54,41.3695068359,1.9970072508,145.2808990479,0.1784,93.8917748917749
0.28,-0.21,0.18,24,2.09,32.77,29.74,32.33,36.54,41.3695068359,1.9970072508,145.2808990479,0.1784,95.1774891774892
0.37,-0.21,0.18,25,2.18,32.77,29.74,32.33,36.54,41.3695068359,1.9970072508,145.2808990479,0.1784,96.4632034632035
0.37,-0.19,0.18,25,2,32.77,29.74,32.33,36.54,41.3695068359,1.9970072508,145.2808990479,0.1784,97.7489177489177
0.37,-0.19,0.18,25,2.09,32.77,29.74,32.33,36.54,41.3695068359,1.9970072508,145.2808990479,0.1784,99.034632034632
0.28,-0.19,0.18,24,2,32.77,29.74,32.33,36.54,41.3695068359,1.9970072508,145.2808990479,0.1784,100.320346320346
0.28,-0.19,0.17,25,2.09,32.77,30.09,32.33,36.78,41.3695030212,1.9970052242,145.1239013672,0.1422,100.320346320346
0.28,-0.19,0.17,25,2.09,32.77,30.09,32.33,36.78,41.3695030212,1.9970052242,145.1239013672,0.1422,100.987012987013
0.37,-0.21,0.17,26,2.09,32.77,30.09,32.33,36.78,41.3695030212,1.9970052242,145.1239013672,0.1422,101.65367965368
0.47,-0.23,0.18,25,2.18,32.77,30.09,32.33,36.78,41.3695030212,1.9970052242,145.1239013672,0.1422,102.320346320346
0.56,-0.23,0.18,24,2,32.77,30.09,32.33,36.78,41.3695030212,1.9970052242,145.1239013672,0.1422,102.987012987013
0.18,-0.19,0.18,24,2,32.77,30.09,32.33,36.78,41.3695030212,1.9970052242,145.1239013672,0.1422,103.65367965368
0.18,-0.21,0.18,24,2,32.77,30.09,32.33,36.78,41.3695030212,1.9970052242,145.1239013672,0.1422,104.320346320346
0.37,-0.19,0.18,23,2,32.77,30.09,32.33,36.78,41.3695030212,1.9970052242,145.1239013672,0.1422,104.987012987013
0.18,-0.21,0.17,25,2.18,32.77,30.09,32.33,36.78,41.3695030212,1.9970052242,145.1239013672,0.1422,105.65367965368
0.28,-0.21,0.18,24,2,32.77,30.09,32.33,36.78,41.3695030212,1.9970052242,145.1239013672,0.1422,106.320346320346
