Sent to board: Gas_read 1
Received by board: OK: auto gas read on, interval = 1s
Received by board: ERR: 334  60568 2048 0 0
Received by board: MES: gas_levels = -14516  18780   23039
Received by board: MES: gas_levels = -14687  18786   23039
Received by board: MES: gas_levels = -14455  18812   22869
Received by board: MES: gas_levels = -14730  18855   23039
Received by board: MES: gas_levels = -14441  18866   22869
Received by board: MES: gas_levels = -14672  18817   22869
Received by board: MES: gas_levels = -14855  18810   22869
Received by board: MES: gas_levels = -14539  18858   22869
Received by board: MES: gas_levels = -14604  18954   22869
Received by board: MES: gas_levels = -14976  19014   22869
Received by board: MES: gas_levels = -15003  18984   22869
Received by board: MES: gas_levels = -14676  18800   22869
Received by board: MES: gas_levels = -14700  18897   22869
Received by board: MES: gas_levels = -15395  19001   22869
Received by board: MES: gas_levels = -14977  18964   22869
Received by board: MES: gas_levels = -15064  18912   22869
Received by board: MES: gas_levels = -14929  19074   22869
Received by board: MES: gas_levels = -15232  19036   22869
Received by board: MES: gas_levels = -14913  19030   22869
Received by board: MES: gas_levels = -15292  19091   22869
Received by board: MES: gas_levels = -15223  19118   22869
Received by board: MES: gas_levels = -15157  19081   22869
Received by board: MES: gas_levels = -15180  19082   22869
Received by board: MES: gas_levels = -15335  19083   22869
Received by board: MES: gas_levels = -15038  19040   22869
